,checking_account,duration,credit_history,purpose,credit_amount,savings_account,present_employment_since,installment_rate,personal_status_sex,other_debtors_guarantors,present_residence_since,property,age,installment_plans,housing,credits,job,number_people_maitenance,telephone,foreign,risk
0,<0,6,critical,radio/tv,1169,unknown,>=7,4,male_single,None,4,real_estate,67,None,own,2,skilled,1,yes,yes,good
1,0<=x<200,48,existing_credits_paid,radio/tv,5951,<100,1<=x<4,2,female_divorced/separated/married,None,2,real_estate,22,None,own,1,skilled,1,none,yes,bad
2,None,12,critical,education,2096,<100,4<=x<7,2,male_single,None,3,real_estate,49,None,own,1,unskilled,2,none,yes,good
3,<0,42,existing_credits_paid,furniture/equipment,7882,<100,4<=x<7,2,male_single,guarantor,4,savings_insurance,45,None,for_free,1,skilled,2,none,yes,good
4,<0,24,delay_in_past,car_new,4870,<100,1<=x<4,3,male_single,None,4,unknown,53,None,for_free,2,skilled,2,none,yes,bad
5,None,36,existing_credits_paid,education,9055,unknown,1<=x<4,2,male_single,None,4,unknown,35,None,for_free,1,unskilled,2,yes,yes,good
6,None,24,existing_credits_paid,furniture/equipment,2835,500<=x<1000,>=7,3,male_single,None,4,savings_insurance,53,None,own,1,skilled,1,none,yes,good
7,0<=x<200,36,existing_credits_paid,car_used,6948,<100,1<=x<4,2,male_single,None,2,car_other,35,None,rent,1,management,1,yes,yes,good
8,None,12,existing_credits_paid,radio/tv,3059,>=1000,4<=x<7,2,male_divorced/separated,None,4,real_estate,61,None,own,1,unskilled,1,none,yes,good
9,0<=x<200,30,critical,car_new,5234,<100,unemployed,4,male_married/widowed,None,2,car_other,28,None,own,2,management,1,none,yes,bad
10,0<=x<200,12,existing_credits_paid,car_new,1295,<100,<1,3,female_divorced/separated/married,None,1,car_other,25,None,rent,1,skilled,1,none,yes,bad
11,<0,48,existing_credits_paid,business,4308,<100,<1,3,female_divorced/separated/married,None,4,savings_insurance,24,None,rent,1,skilled,1,none,yes,bad
12,0<=x<200,12,existing_credits_paid,radio/tv,1567,<100,1<=x<4,1,female_divorced/separated/married,None,1,car_other,22,None,own,1,skilled,1,yes,yes,good
